Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2010-9-13,95.4,82.5,71.4,78.1,73.9,70.2,98,78,47,30.02,29.91,10,1,11,0.00 
2010-9-14,88.9,78.5,71.1,75.4,71.0,65.5,96,79,50,30.08,29.99,9,1,10,0.03 
2010-9-15,91.8,76.6,64.9,71.1,67.0,63.9,97,75,43,30.11,30.02,9,1,10,0.00 
2010-9-16,94.5,78.8,66.6,74.1,69.4,65.3,97,76,41,30.08,29.96,7,0,8,0.00 
2010-9-17,90.5,78.4,68.9,74.1,69.5,66.0,97,77,46,30.05,29.95,10,1,11,0.00 
2010-9-18,92.8,78.4,67.8,75.0,69.8,66.2,97,78,45,30.08,29.98,10,1,13,0.00 
2010-9-19,91.6,78.4,68.9,75.7,69.2,62.2,97,76,40,30.07,29.99,14,1,14,0.00 
2010-9-20,94.8,78.4,64.6,73.4,66.4,60.8,97,72,35,30.03,29.96,9,1,10,0.00 
2010-9-30,82.0,78.7,70.5,67.1,65.7,64.0,84,65,57,29.74,29.58,7,2,9,0.01 
2010-10-1,84.9,73.2,62.4,69.6,65.7,61.5,98,79,53,29.83,29.71,7,1,11,0.00 
2010-10-2,82.6,71.7,63.9,71.1,67.0,62.6,96,86,63,29.86,29.78,8,1,9,0.00 
2010-10-3,81.3,69.6,59.4,65.1,59.3,54.5,97,74,41,29.99,29.85,12,1,13,0.00 
2010-10-4,80.8,66.6,55.6,60.4,54.7,49.5,95,68,40,30.10,29.99,9,1,10,0.00 
2010-10-5,79.7,66.4,55.8,60.4,55.9,51.6,87,70,46,30.14,30.05,10,2,12,0.00 
2010-10-6,76.3,63.1,52.3,55.2,50.0,47.1,92,66,39,30.16,30.02,12,1,12,0.00 
2010-10-7,82.4,63.6,49.1,54.7,50.0,43.3,96,68,29,30.11,29.99,6,1,9,0.00 
2010-10-8,85.8,68.1,53.2,60.3,55.8,51.8,97,70,35,30.07,29.98,5,0,6,0.00 
2010-10-9,88.2,70.8,56.1,68.0,59.5,54.3,97,72,38,30.08,29.96,7,0,8,0.00 
2010-10-10,88.0,72.1,58.6,67.1,61.4,56.5,98,73,40,30.05,29.93,9,0,9,0.00 
2010-10-11,86.4,72.5,62.4,70.2,63.1,58.6,97,76,41,30.05,29.95,6,0,8,0.00 
